Issue_ID,Employee_ID,Issue_Type,Source_System,Severity,Issue_Status,Detected_Date,Recommended_Action
DQ00001,E01136,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00002,E00271,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00003,E02679,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00004,E00481,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00005,E02664,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00006,E00181,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00007,E00114,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00008,E01244,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00009,E02356,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00010,E01347,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00011,E02678,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00012,E00377,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00013,E00895,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00014,E00415,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00015,E02269,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00016,E02657,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00017,E00910,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00018,E02756,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00019,E02012,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00020,E01212,Missing Party ID,HR,High,Open,2026-08-13,Research employee identity and assign Party ID
DQ00021,E01171,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00022,E02270,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00023,E02019,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00024,E00044,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00025,E01737,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00026,E02774,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00027,E02084,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00028,E02994,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00029,E00559,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00030,E01965,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00031,E02040,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00032,E02110,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00033,E02807,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00034,E02773,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00035,E02181,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00036,E02859,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00037,E00511,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00038,E01661,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00039,E00057,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00040,E02525,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00041,E00779,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00042,E00030,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00043,E02926,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00044,E01741,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00045,E02878,Missing Department,HR,Medium,Open,2026-08-13,Validate employee department against workforce system
DQ00046,E00032,Duplicate Employee Record,HR,High,Open,2026-08-13,Review duplicate employee records and identify master record
