Department,Location,Total_Assignments,Completed,Overdue,In_Progress,Not_Started,Compliance_Rate,Report_Date
Clinical Operations,Cancer Center,314,257,51,3,3,81.85,2026-08-13
Clinical Operations,Central Medical Center,286,224,56,2,4,78.32,2026-08-13
Clinical Operations,Children's Hospital,238,184,50,0,4,77.31,2026-08-13
Clinical Operations,North Hospital,299,225,63,5,6,75.25,2026-08-13
Clinical Operations,Outpatient Center A,242,192,47,0,3,79.34,2026-08-13
Clinical Operations,Outpatient Center B,299,231,64,2,2,77.26,2026-08-13
Clinical Operations,South Hospital,231,188,35,5,3,81.39,2026-08-13
Clinical Operations,West Hospital,274,202,64,3,5,73.72,2026-08-13
Emergency Services,Cancer Center,295,229,56,4,6,77.63,2026-08-13
Emergency Services,Central Medical Center,191,144,43,3,1,75.39,2026-08-13
Emergency Services,Children's Hospital,209,159,46,2,2,76.08,2026-08-13
Emergency Services,North Hospital,243,183,51,2,7,75.31,2026-08-13
Emergency Services,Outpatient Center A,239,185,45,4,5,77.41,2026-08-13
Emergency Services,Outpatient Center B,226,178,44,2,2,78.76,2026-08-13
Emergency Services,South Hospital,239,181,50,5,3,75.73,2026-08-13
Emergency Services,West Hospital,239,183,50,2,4,76.57,2026-08-13
Facilities,Cancer Center,233,180,49,3,1,77.25,2026-08-13
Facilities,Central Medical Center,208,154,47,5,2,74.04,2026-08-13
Facilities,Children's Hospital,219,163,47,3,6,74.43,2026-08-13
Facilities,North Hospital,261,198,54,5,4,75.86,2026-08-13
Facilities,Outpatient Center A,202,162,34,2,4,80.2,2026-08-13
Facilities,Outpatient Center B,219,181,33,2,3,82.65,2026-08-13
Facilities,South Hospital,235,185,42,4,4,78.72,2026-08-13
Facilities,West Hospital,278,208,65,1,4,74.82,2026-08-13
Finance,Cancer Center,209,162,43,4,0,77.51,2026-08-13
Finance,Central Medical Center,225,170,48,2,5,75.56,2026-08-13
Finance,Children's Hospital,147,109,33,2,3,74.15,2026-08-13
Finance,North Hospital,238,181,52,0,5,76.05,2026-08-13
Finance,Outpatient Center A,284,222,58,1,3,78.17,2026-08-13
Finance,Outpatient Center B,207,162,39,3,3,78.26,2026-08-13
Finance,South Hospital,220,169,46,1,4,76.82,2026-08-13
Finance,West Hospital,225,162,59,1,3,72.0,2026-08-13
Human Resources,Cancer Center,197,149,41,5,2,75.63,2026-08-13
Human Resources,Central Medical Center,226,168,47,6,5,74.34,2026-08-13
Human Resources,Children's Hospital,229,176,45,2,6,76.86,2026-08-13
Human Resources,North Hospital,230,180,46,1,3,78.26,2026-08-13
Human Resources,Outpatient Center A,257,193,58,3,3,75.1,2026-08-13
Human Resources,Outpatient Center B,247,181,62,3,1,73.28,2026-08-13
Human Resources,South Hospital,192,141,45,4,2,73.44,2026-08-13
Human Resources,West Hospital,246,199,43,1,3,80.89,2026-08-13
Information Technology,Cancer Center,274,204,64,0,6,74.45,2026-08-13
Information Technology,Central Medical Center,309,241,58,0,10,77.99,2026-08-13
Information Technology,Children's Hospital,260,198,53,3,6,76.15,2026-08-13
Information Technology,North Hospital,199,146,47,3,3,73.37,2026-08-13
Information Technology,Outpatient Center A,272,215,54,2,1,79.04,2026-08-13
Information Technology,Outpatient Center B,288,224,59,0,5,77.78,2026-08-13
Information Technology,South Hospital,274,212,56,1,5,77.37,2026-08-13
Information Technology,West Hospital,174,135,35,1,3,77.59,2026-08-13
Laboratory,Cancer Center,301,220,75,5,1,73.09,2026-08-13
Laboratory,Central Medical Center,215,163,44,2,6,75.81,2026-08-13
Laboratory,Children's Hospital,301,224,67,3,7,74.42,2026-08-13
Laboratory,North Hospital,263,197,57,2,7,74.9,2026-08-13
